Politician,Party,State,Polarity,Relative Polarity
Tammy Baldwin,Democrat,Wisconsin,0.47200839999999994,0.9251213712941361
John Barrasso,Republican,Wyoming,0.1340961999999999,0.4697014499324375
Michael F. Bennet,Democrat,Colorado,0.2812697999999998,0.6680541265700908
Marsha Blackburn,Republican,Tennessee,0.016619200000000004,0.3113722564265262
Richard Blumenthal,Democrat,Connecticut,0.3025734000000001,0.696765974904425
Roy Blunt,Republican,Missouri,0.21307179999999992,0.5761405235778785
Cory A. Booker,Democrat,New Jersey,0.32885200000000026,0.7321828611414286
John Boozman,Republican,Arkansas,0.40430920000000015,0.8338800241623965
Mike Braun,Republican,Indiana,0.013401800000000005,0.30703601744199377
Sherrod Brown,Democrat,Ohio,0.3325555999999998,0.7371743743829008
Richard Burr,Republican,North Carolina,0.36088859999999984,0.7753600706434707
Maria Cantwell,Democrat,Washington,0.36847700000000033,0.7855873087581685
Shelley Moore Capito,Republican,West Virginia,0.3665381999999998,0.7829742982082791
Benjamin L. Cardin,Democrat,Maryland,0.21812380000000003,0.5829493379465794
Thomas R. Carper,Democrat,Delaware,0.45181840000000023,0.897910373252951
Robert P. Jr. Casey,Democrat,Pennsylvania,0.3212483999999999,0.7219351372827872
Bill Cassidy,Republican,Louisiana,0.1826780000000001,0.5351773917173446
Susan M. Collins,Republican,Maine,0.4655448000000001,0.916410078231283
Christopher A. Coons,Democrat,Delaware,0.44659780000000027,0.890874328856031
John Cornyn,Republican,Texas,0.05616460000000002,0.3646694234368233
Catherine Cortez Masto,Democrat,Nevada,0.49721099999999985,0.9590880824993256
Tom Cotton,Republican,Arkansas,-0.0840068,0.1757539360257172
Kevin Cramer,Republican,North Dakota,0.2950404,0.6866134019354179
Mike Crapo,Republican,Idaho,0.18167519999999998,0.5338258717155762
Ted Cruz,Republican,Texas,-0.03714579999999999,0.2389106759567719
Steve Daines,Republican,Montana,0.20086600000000004,0.559690201641717
Tammy Duckworth,Democrat,Illinois,0.3697880000000002,0.787354204173324
Richard J. Durbin,Democrat,Illinois,0.22683279999999972,0.594686860578609
Joni Ernst,Republican,Iowa,0.0998666,0.4235686327679719
Dianne Feinstein,Democrat,California,0.21942219999999993,0.5846992517582026
Deb Fischer,Republican,Nebraska,0.2860466000000002,0.6744920411537036
Kirsten E. Gillibrand,Democrat,New York,0.24678940000000016,0.6215832946305522
Lindsey Graham,Republican,South Carolina,0.06844979999999999,0.3812267564301652
Chuck Grassley,Republican,Iowa,0.14945599999999998,0.49040256373694485
Bill Hagerty,Republican,Tennessee,0.08202119999999992,0.39951756073012273
Margaret Wood Hassan,Democrat,New Hampshire,0.43920039999999966,0.8809045102869432
Josh Hawley,Republican,Missouri,-0.04652780000000001,0.22626612005670244
Martin Heinrich,Democrat,New Mexico,0.33374940000000003,0.7387833139302794
John W. Hickenlooper,Democrat,Colorado,0.3355857999999998,0.7412583152578092
Mazie K. Hirono,Democrat,Hawaii,0.22816240000000026,0.5964788240751704
John Hoeven,Republican,North Dakota,0.48329460000000035,0.9403323057216961
Cindy Hyde-Smith,Republican,Mississippi,0.3293557999999998,0.7328618557334612
James M. Inhofe,Republican,Oklahoma,0.11936819999999995,0.4498518422479115
Ron Johnson,Republican,Wisconsin,0.0023897999999999983,0.29219463505321047
Tim Kaine,Democrat,Virginia,0.3672174000000005,0.7838896875034547
Mark Kelly,Democrat,Arizona,0.40427800000000014,0.8338379744774591
John Kennedy,Republican,Louisiana,0.1284716,0.46212091602543165
Angus S. Jr. King,Independent,Maine,0.423746,0.8600758996813123
Amy Klobuchar,Democrat,Minnesota,0.38056519999999977,0.8018791357280269
James Lankford,Republican,Oklahoma,0.084549,0.40292439385783496
Patrick J. Leahy,Democrat,Vermont,0.3524235999999994,0.7639513981115913
Mike Lee,Republican,Utah,0.2505899999999998,0.6267055392642976
Ben Ray Luján,Democrat,New Mexico,0.42722020000000005,0.8647582399187906
Cynthia M. Lummis,Republican,Wyoming,0.15830240000000004,0.5023252667122567
III Joe Manchin,Democrat,West Virginia,0.43430820000000003,0.8743110657789156
