Politician,Party,State,Negativity,Neutrality,Positivity,Compound,Average Likes
Tammy Baldwin,Democrat,Wisconsin,0.05953546099290781,0.7682466509062258,0.17103546099290748,0.3741964933018128,218.82624113475177
John Barrasso,Republican,Wyoming,0.06035421052631576,0.7682689473684218,0.1708478947368421,0.34585063157894713,195.1784210526316
Michael F. Bennet,Democrat,Colorado,0.07001204819277117,0.7804881146206443,0.1494985346792578,0.2806914034516445,268.34614132204496
Marsha Blackburn,Republican,Tennessee,0.10802450284090924,0.7791349431818202,0.10822656250000011,-0.012094850852272727,2602.266690340909
Richard Blumenthal,Democrat,Connecticut,0.11685183911997221,0.721975936748025,0.16083258851839163,0.12387944310759723,492.05981436919905
Roy Blunt,Republican,Missouri,0.04325333333333336,0.7860822857142864,0.15846552380952394,0.3531094857142859,59.63504761904762
Cory A. Booker,Democrat,New Jersey,0.06499999999999997,0.7092210982658977,0.22182044797687944,0.3348612355491315,3879.774566473988
John Boozman,Republican,Arkansas,0.04430955469087773,0.7526126242974492,0.20307349762213575,0.5371445741461311,61.75659316904453
Mike Braun,Republican,Indiana,0.06419605911330044,0.8177280788177341,0.10823645320197044,0.15115088669950727,209.96699507389164
Sherrod Brown,Democrat,Ohio,0.07719161676646707,0.7827133732534942,0.13770059880239544,0.18576395209580804,1349.826746506986
Richard Burr,Republican,North Carolina,0.06453846153846156,0.7850412844036696,0.14795942131263234,0.20509491884262523,72.97600564573041
Maria Cantwell,Democrat,Washington,0.057421336206896566,0.7821731321839075,0.15213864942528724,0.3196791307471256,101.38182471264368
Shelley Moore Capito,Republican,West Virginia,0.04237025910627112,0.7615088246338717,0.16570371761171585,0.35576229815997046,47.14607585429966
Benjamin L. Cardin,Democrat,Maryland,0.0737258672699849,0.7802549019607843,0.14451772247360523,0.2237193815987932,93.36877828054298
Thomas R. Carper,Democrat,Delaware,0.0656909024479357,0.7857267080745335,0.1474753379612717,0.2990770917062471,100.16075995615637
Robert P. Jr. Casey,Democrat,Pennsylvania,0.06828107541899447,0.7889162011173204,0.14105446927374288,0.24956096368715008,236.18924581005587
Bill Cassidy,Republican,Louisiana,0.07750329074719306,0.7615013550135524,0.152859078590786,0.21598850174216078,142.61285327138987
Susan M. Collins,Republican,Maine,0.04924393442622957,0.7742150819672138,0.17653672131147533,0.3957491475409829,580.567868852459
Christopher A. Coons,Democrat,Delaware,0.06502353755624785,0.7717113187954295,0.16118691588785072,0.3199849082727588,224.0809968847352
